0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:42 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:42 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:42 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:42 +0530] "GET /bridgeware/display/22 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:58 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:58 +0530] "GET /project2/displayblog.html HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:58 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:58 +0530] "GET /bridgeware/display/22 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:53:13 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:53:14 +0530] "GET /project2/displayblog.html HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:53:14 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:53:14 +0530] "GET /bridgeware/display/22 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:04 +0530] "GET /project2/home.html HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:05 +0530] "GET /project2/login.html HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:05 +0530] "GET /bridgeware/seeusers HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:05 +0530] "GET /bridgeware/currentuser HTTP/1.1" 500 5370
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:15 +0530] "POST /bridgeware/loginuser HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:22 +0530] "GET /project2/addblog.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:22 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:24 +0530] "GET /project2/seeallblogs.html HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:24 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:26 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:26 +0530] "GET /bridgeware/display/23 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:27 +0530] "GET /project2/seeusers.html HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:27 +0530] "GET /bridgeware/seeusers HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:28 +0530] "GET /bridgeware/currentuser HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:31 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:32 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:54:32 +0530] "GET /bridgeware/display/23 HTTP/1.1" 200 124
